,Razão Social,Nome de Pregão,Segmento,Código,Categoria
195,COTY. INC.,COTY INC,BDR / CDADRN,COTY,
196,COURSERA INC,COURSERA INC,BDR / CDADRN,C2OU,
197,COUSINS PROPERTIES INC,COUSINS PROP,BDR / CDADRN,C2PR,
198,CREDICORP LTD,CREDICORP LT,BDR / CDADRN,B2AP,
199,CREDIT ACCEPTANCE CORP,CREDIT ACCEP,BDR / CDADRN,CRDA,
200,CRH PLC,CRH PLC,BDR / CDADRN,C1RH,
201,CRISPR THERAPEUTICS AG,CRISPR THERA,BDR / CDADRN,C2RS,
202,CROWDSTRIKE HOLDINGS INC,CROWDSTRIKE,BDR / CDADRN,C2RW,
203,CROWN CASTLE INC.,CROWN CASTLE,BDR / CDADRN,C1CI,
204,CSX CORP,CSX CORP,BDR / CDADRN,CSXC,
205,CUMMINS INC,CUMMINS INC,BDR / CDADRN,C1MI,
206,CVS HEALTH CORPORATION,CVS HEALTH,BDR / CDADRN,CVSH,
207,DANAHER CORPORATION,DANAHER CORP,BDR / CDADRN,DHER,
208,DARDEN RESTAURANTS INC,DARDEN RESTA,BDR / CDADRN,D1RI,
209,DARLING INGREDIENTS INC,DARLING INGR,BDR / CDADRN,D2AR,
210,DATADOG INC,DATADOG INC,BDR / CDADRN,D1DG,
211,DAVITA INC,DAVITA INC,BDR / CDADRN,DVAI,
212,DEERE & CO,DEERE CO,BDR / CDADRN,DEEC,
213,DELL TECHNOLOGIES INC,DELL TECHNOL,BDR / CDADRN,D1EL,
214,DELTA AIR LINES. INC.,DELTA,BDR / CDADRN,DEAI,
215,DENALI THERAPEUTICS INC,DENALI THERA,BDR / CDADRN,D2NL,
216,DENTSPLY SIRONA INC,DENTSPLY SIR,BDR / CDADRN,XRAY,
217,DEUTSCHE BANK AKTIENGESELLSCHAFT,DEUTSCHE AK,BDR / CDADRN,DBAG,
218,DEVON ENERGY CORP,DEVON ENERGY,BDR / CDADRN,D1VN,
219,DEXCOM INC,DEXCOM INC,BDR / CDADRN,D1EX,
220,DIAGEO PLC,DIAGEO PL,BDR / CDADRN,DEOP,
221,DIAMONDBACK ENERGY INC,DIAMONDBACK,BDR / CDADRN,F1AN,
222,DICKS SPORTING GOODS INC,DICKS SPORT,BDR / CDADRN,D2KS,
223,DIGITAL REALTY TRUST INC,DIGITAL REAL,BDR / CDADRN,D1LR,
224,DISCOVER FINANCIAL SERVICES,DISCOVER FIN,BDR / CDADRN,D1FS,
225,DOCUSIGN INC,DOCUSIGN INC,BDR / CDADRN,D1OC,
226,DOLLAR GENERAL CORP,DOLLAR GENER,BDR / CDADRN,DGCO,
227,DOLLAR TREE INC,DOLLAR TREE,BDR / CDADRN,DLTR,
228,DOMINION ENERGY INC,DOMINION ENE,BDR / CDADRN,D1OM,
229,DOMINO S PIZZA INC,DOMINOSPIZZA,BDR / CDADRN,D2PZ,
